Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2019,Toyota,Alphard,2.5,15000,Automatic,1020000000
2020,Toyota,Alphard,2.5,11200,Automatic,1125000000
2020,Toyota,Alphard,2.5,14000,Automatic,1125000000
2020,Toyota,Alphard,2.5,16800,Automatic,1125000000
2020,Toyota,Alphard,2.5,13000,Automatic,1100000000
2020,Toyota,Alphard,2.5,15000,Automatic,1090000000
2020,Toyota,Alphard,2.5,4008,Automatic,1195000000
2020,Toyota,Alphard,2.5,5000,Automatic,1235000000
2020,Toyota,Alphard,2.5,20000,Automatic,1150000000
2020,Toyota,Alphard,2.5,9000,Automatic,1150000000
2020,Toyota,Alphard,2.5,25000,Automatic,1150000000
2020,Toyota,Alphard,2.5,5000,Automatic,1195000000
2020,Toyota,Alphard,2.5,5000,Automatic,1155000000
2021,Toyota,Alphard,2.5,11200,Automatic,1175000000
2021,Toyota,Alphard,2.5,5000,Automatic,1235000000
2021,Toyota,Alphard,2.5,5000,Automatic,1235000000
2012,Toyota,Alphard,3.5,16800,Automatic,450000000
2015,Toyota,Altis,1.8,92,Automatic,217200000
2018,Toyota,Altis,1.8,46777,Automatic,314086000
2010,Toyota,Avanza,1.3,207200,Automatic,100000000
2010,Toyota,Avanza,1.3,126000,Manual,97000000
2010,Toyota,Avanza,1.3,115000,Automatic,100000000
2011,Toyota,Avanza,1.3,128800,Manual,100000000
2011,Toyota,Avanza,1.3,96000,Automatic,99000000
2012,Toyota,Avanza,1.3,168299,Manual,115000000
2012,Toyota,Avanza,1.3,190000,Manual,115000000
2012,Toyota,Avanza,1.3,100800,Automatic,110000000
2012,Toyota,Avanza,1.3,105000,Automatic,94000000
2012,Toyota,Avanza,1.3,3900000,Manual,106000000
2013,Toyota,Avanza,1.3,113000,Manual,120000000
2013,Toyota,Avanza,1.3,117600,Manual,115000000
2013,Toyota,Avanza,1.3,134400,Automatic,102000000
2013,Toyota,Avanza,1.3,95000,Manual,111000000
2013,Toyota,Avanza,1.3,115000,Automatic,116000000
2013,Toyota,Avanza,1.3,135000,Automatic,113000000
2013,Toyota,Avanza,1.3,40000,Manual,128000000
2014,Toyota,Avanza,1.3,78400,Manual,130000000
2014,Toyota,Avanza,1.3,72800,Automatic,120000000
2014,Toyota,Avanza,1.3,150000,Manual,115000000
2014,Toyota,Avanza,1.3,120000,Manual,129000000
2014,Toyota,Avanza,1.3,75000,Manual,116000000
2014,Toyota,Avanza,1.3,70000,Manual,121000000
2014,Toyota,Avanza,1.3,95000,Manual,125000000
2015,Toyota,Avanza,1.3,104007,Automatic,136700000
